"","rent","bedroom","livingroom","bathroom","area","room","floor_grp","subway","region","heating"
"143",5143,5,1,1,27,"主卧","低楼层","是","朝阳","自采暖"
"144",2692,2,1,1,9,"次卧","中楼层","是","石景山","集中供暖"
"145",2355,2,1,1,15,"主卧","高楼层","是","昌平","集中供暖"
"146",2770,3,1,1,10,"次卧","高楼层","是","朝阳","自采暖"
"147",2758,3,1,1,14,"主卧","中楼层","是","朝阳","集中供暖"
"148",2787,3,1,1,10,"次卧","中楼层","是","昌平","自采暖"
"149",2633,2,1,1,15,"主卧","中楼层","否","昌平","集中供暖"
"150",2840,2,1,1,11,"次卧","中楼层","是","顺义","集中供暖"
"151",2448,3,1,1,10,"次卧","中楼层","是","石景山","集中供暖"
"152",2515,2,1,1,10,"次卧","低楼层","是","通州","集中供暖"
"153",2324,4,1,1,12,"次卧","中楼层","是","大兴","集中供暖"
"154",2786,2,1,1,9,"主卧","低楼层","是","西城","集中供暖"
"155",2532,2,1,1,12,"主卧","高楼层","否","大兴","集中供暖"
"156",2634,4,1,1,17,"次卧","高楼层","是","通州","集中供暖"
"157",3087,2,1,1,18,"主卧","中楼层","是","石景山","集中供暖"
"158",2501,3,1,1,13,"次卧","低楼层","是","大兴","集中供暖"
"159",2700,2,1,1,19,"主卧","低楼层","是","通州","集中供暖"
"160",2582,4,1,1,14,"主卧","中楼层","否","通州","集中供暖"
"161",3033,2,1,1,11,"主卧","高楼层","是","丰台","集中供暖"
"162",3489,3,1,1,15,"主卧","低楼层","是","朝阳","集中供暖"
"163",2052,3,1,1,12,"主卧","中楼层","是","顺义","集中供暖"
"164",2185,2,1,1,10,"次卧","低楼层","是","大兴","集中供暖"
"165",3136,2,1,1,15,"主卧","高楼层","是","石景山","集中供暖"
"166",3277,3,1,1,7,"次卧","低楼层","是","朝阳","集中供暖"
"167",3328,3,1,1,14,"主卧","中楼层","是","丰台","集中供暖"
"168",2602,3,1,1,11,"次卧","高楼层","是","通州","集中供暖"
"169",3648,4,1,1,14,"主卧","低楼层","是","朝阳","集中供暖"
"170",3315,2,1,1,14,"主卧","低楼层","是","丰台","集中供暖"
"171",2594,3,1,1,11,"次卧","高楼层","否","丰台","集中供暖"
"172",3051,3,1,1,8,"次卧","高楼层","是","海淀","自采暖"
"173",3108,2,1,1,19,"主卧","高楼层","是","通州","集中供暖"
"174",2193,3,1,1,10,"次卧","中楼层","是","通州","集中供暖"
"175",2546,2,1,1,15,"主卧","中楼层","是","大兴","集中供暖"
"176",2401,3,1,1,9,"次卧","高楼层","是","大兴","自采暖"
"177",2646,4,1,1,10,"次卧","高楼层","是","昌平","自采暖"
"178",3007,4,1,1,13,"次卧","低楼层","是","丰台","集中供暖"
"179",2824,3,1,1,19,"主卧","低楼层","否","通州","自采暖"
"180",3747,3,1,1,12,"主卧","中楼层","是","朝阳","集中供暖"
"181",2764,4,1,1,8,"次卧","高楼层","是","朝阳","集中供暖"
"182",3420,4,1,1,16,"主卧","高楼层","是","丰台","集中供暖"
"183",2051,3,1,1,16,"主卧","中楼层","否","昌平","集中供暖"
"184",2658,2,1,1,9,"次卧","中楼层","是","朝阳","集中供暖"
"185",3004,3,1,1,10,"次卧","低楼层","是","朝阳","集中供暖"
"186",3258,2,1,1,19,"主卧","中楼层","是","丰台","集中供暖"
"187",3227,3,1,1,12,"主卧","低楼层","是","海淀","自采暖"
"188",2294,4,1,1,13,"次卧","低楼层","是","丰台","集中供暖"
"189",2676,5,1,1,15,"次卧","低楼层","是","通州","集中供暖"
"190",3377,3,1,1,15,"主卧","低楼层","是","昌平","集中供暖"
"191",2771,3,1,1,7,"次卧","中楼层","是","朝阳","集中供暖"
"192",2530,3,1,1,9,"主卧","中楼层","否","丰台","集中供暖"
"193",3085,4,1,1,20,"主卧","高楼层","是","通州","集中供暖"
"194",2779,3,1,1,11,"次卧","低楼层","是","昌平","集中供暖"
"195",2491,3,1,1,10,"主卧","中楼层","是","石景山","集中供暖"
"196",2564,4,1,1,11,"次卧","高楼层","是","顺义","集中供暖"
"197",2600,4,1,1,13,"主卧","中楼层","否","丰台","集中供暖"
"198",2511,3,1,1,10,"主卧","低楼层","是","大兴","集中供暖"
"199",2593,3,1,1,11,"次卧","低楼层","是","丰台","集中供暖"
"200",2650,2,1,1,14,"主卧","高楼层","是","通州","集中供暖"
"201",2587,3,1,1,12,"次卧","中楼层","是","朝阳","集中供暖"
"202",2320,4,1,1,11,"次卧","中楼层","是","朝阳","自采暖"
"203",2505,2,1,1,8,"次卧","高楼层","是","通州","集中供暖"
"204",3216,4,1,1,20,"主卧","低楼层","是","通州","集中供暖"
"205",2169,5,1,1,10,"次卧","低楼层","是","顺义","集中供暖"
"206",3267,2,1,1,14,"主卧","高楼层","是","石景山","集中供暖"
"207",2219,2,1,1,12,"主卧","中楼层","是","大兴","集中供暖"
"208",2569,3,1,1,12,"次卧","高楼层","是","通州","集中供暖"
"209",3692,2,1,1,14,"主卧","高楼层","否","朝阳","集中供暖"
"210",2189,3,1,1,11,"主卧","中楼层","否","大兴","集中供暖"
"211",3254,2,1,1,18,"主卧","中楼层","是","石景山","集中供暖"
"212",2508,3,1,1,13,"主卧","高楼层","是","通州","集中供暖"
"213",4646,3,1,1,16,"次卧","高楼层","是","朝阳","自采暖"
"214",2625,4,1,1,11,"次卧","低楼层","否","昌平","集中供暖"
"215",2851,3,1,1,13,"主卧","中楼层","是","朝阳","自采暖"
"216",2625,3,1,1,8,"次卧","高楼层","是","昌平","集中供暖"
"217",4147,3,1,1,14,"主卧","中楼层","是","朝阳","集中供暖"
"218",3544,4,1,1,17,"主卧","低楼层","是","丰台","集中供暖"
"219",2734,4,1,1,12,"次卧","低楼层","是","丰台","集中供暖"
"220",4719,2,1,1,8,"次卧","中楼层","是","海淀","集中供暖"
"221",2660,2,1,1,21,"主卧","高楼层","是","通州","集中供暖"
"222",4386,2,1,1,18,"主卧","低楼层","是","朝阳","集中供暖"
"223",3438,2,1,1,17,"主卧","高楼层","是","石景山","集中供暖"
"224",3146,3,1,1,10,"次卧","高楼层","是","海淀","自采暖"
"225",2358,3,1,1,11,"次卧","中楼层","否","通州","集中供暖"
"226",3159,4,1,1,15,"主卧","高楼层","否","昌平","集中供暖"
"227",2282,4,1,1,7,"次卧","低楼层","是","顺义","集中供暖"
"228",2630,4,1,1,7,"次卧","中楼层","否","海淀","自采暖"
"229",2634,3,1,1,10,"次卧","低楼层","否","丰台","集中供暖"
"230",3855,4,1,1,16,"主卧","中楼层","是","朝阳","集中供暖"
"231",2168,3,1,1,11,"主卧","高楼层","是","通州","集中供暖"
"232",2546,3,1,1,10,"次卧","低楼层","是","朝阳","自采暖"
"233",3782,3,1,1,12,"主卧","低楼层","是","朝阳","集中供暖"
"234",2650,2,1,1,15,"主卧","中楼层","是","通州","集中供暖"
"235",2465,2,1,1,14,"次卧","中楼层","是","通州","集中供暖"
"236",2531,2,1,1,13,"主卧","高楼层","是","大兴","集中供暖"
"237",3237,2,1,1,14,"主卧","高楼层","是","石景山","集中供暖"
"238",2564,5,1,2,8,"次卧","低楼层","是","海淀","自采暖"
"239",2132,4,2,1,10,"次卧","高楼层","是","通州","集中供暖"
"240",3080,3,1,1,12,"次卧","高楼层","是","海淀","自采暖"
"241",2172,3,1,1,11,"次卧","低楼层","否","通州","集中供暖"
"242",2389,3,1,1,10,"次卧","低楼层","是","朝阳","自采暖"
"243",1991,3,1,1,13,"主卧","中楼层","是","房山","集中供暖"
"244",2647,3,1,1,10,"次卧","低楼层","是","朝阳","自采暖"
"245",2824,3,1,1,18,"主卧","低楼层","是","石景山","集中供暖"
"246",2818,3,1,1,18,"次卧","低楼层","是","石景山","集中供暖"
"247",2815,2,1,1,14,"主卧","高楼层","是","大兴","集中供暖"
"248",2552,3,1,1,14,"主卧","低楼层","是","朝阳","自采暖"
"249",2673,3,1,1,13,"主卧","低楼层","是","石景山","集中供暖"
"250",2840,3,1,1,13,"次卧","中楼层","是","丰台","集中供暖"
"251",3283,4,1,1,13,"次卧","中楼层","是","朝阳","集中供暖"
"252",2421,3,1,1,10,"次卧","高楼层","是","丰台","自采暖"
"253",2778,3,1,1,10,"次卧","高楼层","是","海淀","自采暖"
"254",2574,3,1,1,10,"次卧","中楼层","是","朝阳","集中供暖"
"255",2818,3,1,1,13,"次卧","高楼层","是","海淀","集中供暖"
"256",2239,3,1,1,13,"次卧","中楼层","是","丰台","自采暖"
"257",3038,4,1,1,16,"次卧","低楼层","是","朝阳","集中供暖"
"258",2581,3,1,1,30,"主卧","中楼层","是","昌平","自采暖"
"259",2045,4,1,1,13,"主卧","高楼层","是","房山","自采暖"
"260",2382,2,1,1,19,"主卧","低楼层","是","昌平","集中供暖"
"261",2598,4,1,1,10,"次卧","中楼层","是","昌平","集中供暖"
