剧名,类型,播放量,点赞,差评,得分,采集日期
猎魔,"军旅剧

/
历史剧

/
谍战剧",5756万,"11,816","6,917",6.3,2015-9-23 23:52:06
我们家的微幸福生活,"家庭剧

/
言情剧",3425万,"13,492","3,833",7.8,2015-9-23 23:52:07
宅男的恋爱养成,"网络剧
/
喜剧",134万,"1,188",641,6.5,2015-9-23 23:52:08
大刀记,军旅剧,2.68亿,0,0,.,2015-9-23 23:52:08
左手劈刀,军旅剧,2.71亿,"147,050","50,121",7.5,2015/9/23 23:52:25
男神执事团,"偶像剧
/
青春剧
/
网络剧",3932万,"221,421","15,485",9.3,2015-9-23 23:52:27
嘻哈白蛇传,"喜剧
/
网络剧",1858万,"69,190","25,034",7.3,2015-9-23 23:52:26
毕业歌,年代剧,3129万,"38,071","9,025",8.1,2015-9-23 23:52:29
铁在烧,"军旅剧
/
言情剧
/
谍战剧",4.08亿,"282,452","68,095",8.1,2015-9-23 23:52:30
少年四大名捕冷血张翰特辑,"古装剧
/
偶像剧
/
悬疑剧",805万,"8,857","1,541",8.5,2015-9-23 23:52:33
致匆匆那些年,"言情剧

/
青春剧

/
网络剧",614万,"25,017","2,390",9.1,2015-9-23 23:52:34
彩虹营业厅,"喜剧

/
网络剧",176万,"4,531","2,209",6.7,2015-9-23 23:52:34
克拉恋人未删减版,"言情剧

/
偶像剧",1631万,"25,664","11,526",6.9,2015/9/23 23:52:38
花千骨,"言情剧
/
古装剧
/
偶像剧",66.37亿,"8,302,193","1,761,496",8.2,2015-9-23 23:52:35
美剧,"罪案剧
/
悬疑剧",223万,"4,154","1,610",7.2,2015-9-23 23:52:40
null,null,null,null,null,null,2015-9-24 1:02:03
仙侠剑未删减版,"言情剧

/
武侠剧

/
古装剧",586万,"4,024","2,308",6.4,2015-9-23 23:52:39
地下地上之大陆小岛,"谍战剧

/
军旅剧",2707万,"17,234","4,718",7.9,2015-9-23 23:52:38
