剧名,类型,播放量,点赞,差评,得分,采集日期
我的天啊第2季,"喜剧

/
网络剧",375万,"1,453","3,431",3.0,2015-10-6 1:05:17
神犬小七未删减版,偶像剧,2558万,"66,089","7,511",9.0,2015-10-6 1:05:20
英雄戟之影子战士,"谍战剧

/
悬疑剧",1.24亿,"65,959","19,808",7.7,2015-10-6 1:05:20
涩世纪传说,"青春剧
/
言情剧
/
网络剧
/
偶像剧
/
科幻剧",5.01亿,"1,621,249","132,675",9.2,2015-10-6 1:05:21
铁甲舰上的男人们DVD版,历史剧,115万,727,326,6.9,2015-10-6 1:05:22
烧脑,"网络剧
/
偶像剧",328万,"1,750","1,452",5.5,2015-10-6 1:05:16
克拉恋人,"青春剧
/
言情剧
/
偶像剧",28.35亿,"5,334,695","941,783",8.5,2015-10-6 1:05:27
于无声处,"罪案剧
/
年代剧",1.31亿,"30,464","8,334",7.9,2015-10-6 1:05:27
妈妈向前冲,"家庭剧

/
言情剧",1.48亿,"69,641","37,674",6.5,2015-10-6 1:05:29
春江英雄之秀才遇到兵,"言情剧
/
谍战剧",6.00亿,"719,421","98,652",8.8,2015-10-6 1:05:25
克拉之恋,"青春剧

/
言情剧

/
偶像剧",7503万,"203,593","28,072",8.8,2015-10-6 1:05:30
玩的就是艳遇,"喜剧

/
青春剧

/
网络剧",529万,"7,858","5,995",5.7,2015-10-6 1:05:44
待嫁老爸,"言情剧

/
家庭剧",1.27亿,"33,936","6,911",8.3,2015-10-6 1:05:57
女人的抗战,谍战剧,7506万,"12,136","3,509",7.8,2015-10-6 1:06:11
学堂故事,"喜剧
/
网络剧",511万,"1,741","1,872",4.8,2015-10-6 1:05:34
劫中劫,谍战剧,8761万,"16,351","7,379",6.9,2015-10-6 1:05:47
坐88路车回家,言情剧,8008万,"17,143","4,777",7.8,2015-10-6 1:06:00
铁核桃,"年代剧

/
谍战剧",2.47亿,"55,441","18,832",7.5,2015-10-6 1:06:13
马上天下,军旅剧,1.44亿,"35,354","14,326",7.1,2015-10-6 1:05:34
离婚协议,null,3991万,"8,990","4,840",6.5,2015-10-6 1:05:47
女人的抗战未删减版,谍战剧,803万,"1,546","1,146",5.7,2015-10-6 1:06:00
出关,null,4460万,"9,729","4,256",7.0,2015-10-6 1:06:13
错伏,谍战剧,2348万,"8,949","4,328",6.7,2015-10-6 1:05:34
我的抗战之铁血轻奇兵,军旅剧,1.06亿,"20,777","5,898",7.8,2015-10-6 1:05:29
壮丁也是兵,军旅剧,2.26亿,"45,689","17,826",7.2,2015-10-6 1:05:47
下一站婚姻,"家庭剧
/
言情剧",4.44亿,"119,263","38,640",7.6,2015-10-6 1:06:00
我的美女老师,"青春剧
/
偶像剧
/
科幻剧
/
言情剧
/
网络剧",2.28亿,"200,948","54,553",7.9,2015-10-6 1:05:42
别让我看见,"言情剧

/
悬疑剧",5747万,"24,918","5,207",8.3,2015-10-6 1:06:13
活色生香,"青春剧
/
言情剧
/
年代剧
/
偶像剧",8.26亿,"1,059,332","112,271",9.0,2015-10-6 1:05:55
爸爸父亲爹,"军旅剧
/
谍战剧",1.35亿,"60,323","22,633",7.3,2015-10-6 1:05:35
空巢姥爷,"家庭剧

/
言情剧",3538万,"10,473","3,168",7.7,2015-10-6 1:05:49
傲魂之活死人,"网络剧

/
悬疑剧",3791万,"11,453","1,880",8.6,2015-10-6 1:06:02
不能没有家,"家庭剧

/
言情剧",2810万,"7,303","3,650",6.7,2015-10-6 1:06:15
今天很上火之奇葩相亲,"喜剧

/
网络剧",564万,"2,465","2,407",5.1,2015-10-6 1:05:41
前夫求爱记,"喜剧
/
言情剧",1.92亿,"56,580","17,370",7.7,2015-10-6 1:05:54
末代皇帝传奇,"宫廷剧

/
历史剧",7852万,"25,058","4,767",8.4,2015-10-6 1:06:07
猜拳,"悬疑剧

/
谍战剧",7016万,"10,882","4,959",6.9,2015-10-6 1:05:40
李大白的道德经,"喜剧
/
网络剧",77.3万,554,383,5.9,2015-10-6 1:05:53
淑女涩男,青春剧,1.77亿,"66,298","8,658",8.8,2015-10-6 1:05:39
前夫求爱记未删减版,喜剧,1594万,"4,398","1,795",7.1,2015-10-6 1:05:52
剧场,言情剧,1547万,"4,268","2,113",6.7,2015-10-6 1:05:42
聊斋新编未删减版,"神话剧

/
古装剧",4934万,"12,986","2,905",8.2,2015-10-6 1:05:55
我的二哥二嫂,"农村剧

/
年代剧

/
家庭剧",2.39亿,"55,587","22,761",7.1,2015-10-6 1:06:08
律师岳家军,网络剧,538万,"1,607",790,6.7,2015-10-6 1:06:06
锦绣缘华丽冒险未删减版,"言情剧

/
年代剧

/
偶像剧",3265万,"19,355","4,362",8.2,2015-10-6 1:06:20
活色生香未删减版,"偶像剧
/
年代剧
/
言情剧
/
青春剧",2.82亿,"62,951","11,491",8.5,2015-10-6 1:06:22
泪洒女人花,"言情剧

/
年代剧",2.00亿,"61,951","38,452",6.2,2015-10-6 1:06:19
九星天辰诀,"古装剧
/
网络剧",3063万,"30,729","21,539",5.9,2015-10-6 1:06:24
好大一个家,家庭剧,1.28亿,"60,121","12,105",8.3,2015-10-6 1:06:26
千金女贼未删减版,"年代剧

/
偶像剧",4011万,"32,155","8,046",8.0,2015-10-6 1:06:26
战魂,军旅剧,1.35亿,"39,652","9,398",8.1,2015-10-6 1:06:28
千金女贼,"言情剧
/
年代剧
/
偶像剧",13.99亿,"981,231","155,453",8.6,2015-10-6 1:06:26
大刀记,军旅剧,2.69亿,"60,342","21,991",7.3,2015-10-6 1:06:37
光影,"军旅剧

/
年代剧",1.68亿,"50,084","14,761",7.7,2015-10-6 1:06:33
长大,"青春剧
/
言情剧",4.21亿,"388,157","53,150",8.8,2015-10-6 1:06:34
地下地上之大陆小岛,"谍战剧

/
军旅剧",4638万,"23,797","6,673",7.8,2015-10-6 1:06:52
终极对决,军旅剧,1.53亿,"89,704","34,312",7.2,2015-10-6 1:06:55
南侨机工英雄传,年代剧,5408万,"33,563","8,714",7.9,2015-10-6 1:07:03
美剧,"喜剧
/
罪案剧",854万,"10,608","4,108",7.2,2015-10-6 1:07:06
星空中的潘朵拉,"言情剧
/
偶像剧
/
网络剧",486万,"4,763","4,088",5.4,2015-10-6 1:07:08
花千骨2015,"言情剧
/
穿越剧
/
网络剧",7.89亿,"1,887,562","501,671",7.9,2015-10-6 1:07:09
二十四道拐,"谍战剧

/
军旅剧",6754万,"31,087","10,763",7.4,2015-10-6 1:07:09
蜀山战纪第1季,"言情剧
/
武侠剧
/
古装剧
/
偶像剧",1.41亿,"632,733","118,021",8.4,2015-10-6 1:07:06
冲出月亮岛,"言情剧

/
年代剧",4210万,"27,991","10,432",7.3,2015-10-6 1:07:08
红色青橄榄,"青春剧

/
网络剧

/
偶像剧

/
悬疑剧",1212万,"74,878",555,9.9,2015-10-6 1:07:16
null,null,null,null,null,null,2015-10-6 1:07:16
太行山上,"历史剧

/
军旅剧",9820万,"62,396","18,266",7.7,2015-10-6 1:07:19
我的绝密生涯,"年代剧
/
谍战剧
/
悬疑剧",5157万,"26,307","7,614",7.8,2015-10-6 1:07:21
抉择,历史剧,2663万,"8,262","3,732",6.9,2015-10-6 1:07:19
我的宝贝,"言情剧
/
偶像剧",3.22亿,"186,655","51,815",7.8,2015-10-6 1:07:21
null,null,null,null,null,null,2015-10-6 1:07:30
冰与火的青春未删减版,"言情剧

/
偶像剧",401万,"3,313","1,495",6.9,2015-10-6 1:07:22
花千骨未删减版,"言情剧
/
古装剧
/
偶像剧",4.03亿,"276,378","87,449",7.6,2015-10-6 1:07:22
wait酒吧,"喜剧

/
网络剧",400万,"2,275","4,521",3.3,2015-10-6 1:07:35
抉择,历史剧,2663万,"8,262","3,732",6.9,2015-10-6 1:07:32
罗龙镇女人,年代剧,2.70亿,"78,211","27,789",7.4,2015-10-6 1:07:29
火线英雄,军旅剧,2785万,"15,675","4,256",7.9,2015-10-6 1:07:32
玩转APP,"喜剧

/
网络剧",1942万,429,352,5.5,2015-10-6 1:07:34
绝命追踪,悬疑剧,6594万,"73,841","2,724",9.6,2015-10-6 1:07:35
偏偏喜欢你,"军旅剧
/
年代剧
/
偶像剧",10.89亿,"665,392","152,763",8.1,2015-10-6 1:07:35
还珠格格2015,"古装剧

/
喜剧

/
网络剧",1253万,"38,762","34,812",5.3,2015-10-6 1:07:41
云中歌,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",5.21亿,"875,991","187,370",8.2,2015-10-6 1:07:43
婚姻时差,"家庭剧
/
言情剧",1.04亿,"22,441","9,249",7.1,2015-10-6 1:07:48
出关未删减版,null,541万,"1,037",568,6.5,2015-10-6 1:07:45
刑警队长,罪案剧,2.84亿,"79,063","19,213",8.0,2015-10-6 1:07:42
婚前协议,"家庭剧

/
言情剧",1.47亿,"29,937","16,433",6.5,2015-10-6 1:07:47
偏偏喜欢你未删减版,"偶像剧
/
年代剧
/
军旅剧",3731万,"25,764","5,719",8.2,2015-10-6 1:07:43
茗天闪亮,"青春剧

/
言情剧",2233万,"17,349","3,800",8.2,2015-10-6 1:07:48
绝地刀锋,"军旅剧

/
谍战剧",1.28亿,"23,761","8,156",7.4,2015-10-6 1:07:48
抓住彩虹的男人,"言情剧
/
偶像剧
/
悬疑剧",5.98亿,"255,376","65,748",8.0,2015-10-6 1:07:45
刺蝶,"军旅剧

/
谍战剧

/
悬疑剧",9093万,"46,153","18,385",7.2,2015-10-6 1:07:54
大村官之放飞梦想,农村剧,5330万,"17,194","6,038",7.4,2015-10-6 1:07:58
爱的秘笈,"偶像剧

/
言情剧",1.23亿,"53,361","6,246",9.0,2015-10-6 1:07:56
突围突围,言情剧,8119万,"20,137","7,585",7.3,2015-10-6 1:08:00
少年四大名捕陈伟霆cut集锦,"言情剧

/
武侠剧

/
古装剧

/
偶像剧

/
悬疑剧",355万,"4,724","1,561",7.5,2015-10-6 1:07:57
爱情公寓番外篇,网络剧,2.38亿,"203,642","27,574",8.8,2015-10-6 1:08:01
最佳前男友,"言情剧
/
偶像剧",6.13亿,"622,264","101,535",8.6,2015-10-6 1:07:56
南方怂人帮,"网络剧

/
喜剧",82.6万,528,507,5.1,2015-10-6 1:08:01
伙伴夫妻,"言情剧

/
家庭剧",6545万,"10,351","5,347",6.6,2015-10-6 1:07:58
铁甲舰上的男人们,历史剧,4097万,"10,241","1,037",9.1,2015-10-6 1:08:01
如果爱可以重来,"言情剧
/
偶像剧",7153万,"39,075","12,284",7.6,2015-10-6 1:08:09
王大花的革命生涯,"谍战剧
/
喜剧",2.69亿,"63,173","19,756",7.6,2015-10-6 1:08:10
少年神探狄仁杰,"古装剧
/
悬疑剧",3.94亿,"661,573","76,254",9.0,2015-10-6 1:08:08
冰与火的青春,"青春剧
/
言情剧
/
偶像剧",6.68亿,"791,124","196,655",8.0,2015-10-6 1:08:09
锦绣缘华丽冒险,"言情剧
/
年代剧
/
偶像剧",11.46亿,"954,997","160,010",8.6,2015-10-6 1:08:14
男神经,"喜剧
/
网络剧",1201万,"6,556","1,699",7.9,2015-10-6 1:08:14
隋唐英雄5TV版,古装剧,6877万,"37,348","7,638",8.3,2015-10-6 1:08:14
我爷爷和奶奶的故事,"军旅剧
/
言情剧",4818万,"11,105","3,348",7.7,2015-10-6 1:08:12
杀寇决,"历史剧

/
谍战剧

/
悬疑剧",1.24亿,"38,022","8,942",8.1,2015-10-6 1:08:11
发明大师,"喜剧
/
网络剧
/
科幻剧",1.41亿,"21,330","3,202",8.7,2015-10-6 1:08:22
别叫我兄弟,"青春剧

/
言情剧

/
年代剧",1.75亿,"71,159","17,531",8.0,2015-10-6 1:08:27
猎魔,"军旅剧

/
历史剧

/
谍战剧",5878万,"12,205","6,976",6.4,2015-10-6 1:08:13
null,null,null,null,null,null,2015-10-6 1:08:21
封神英雄,"神话剧
/
武侠剧
/
古装剧",7.78亿,"632,047","142,699",8.2,2015-10-6 1:08:23
嘿！真不是闹着玩的,"喜剧

/
农村剧",7378万,"42,745","8,411",8.4,2015-10-6 1:08:27
陆小凤与花满楼,"武侠剧
/
古装剧",3.30亿,"132,369","26,510",8.3,2015-10-6 1:08:27
我们家的微幸福生活,"家庭剧

/
言情剧",3458万,"13,731","3,739",7.9,2015-10-6 1:08:22
聊斋新编,"神话剧
/
古装剧",4.59亿,"155,950","40,573",7.9,2015-10-6 1:08:35
特警力量,"罪案剧
/
军旅剧",20.24亿,"646,330","72,834",9.0,2015-10-6 1:08:34
宅男的恋爱养成,"网络剧
/
喜剧",137万,"1,210",658,6.5,2015-10-6 1:08:26
封神英雄,"神话剧
/
武侠剧
/
古装剧",7.78亿,"632,047","142,699",8.2,2015-10-6 1:08:36
大汉情缘之云中歌未删减版,"宫廷剧
/
言情剧
/
古装剧
/
偶像剧",3062万,"52,709","7,851",8.7,2015-10-6 1:08:37
我是机器人,"偶像剧

/
喜剧",7664万,"105,313","11,338",9.0,2015-10-6 1:08:39
嘿，老头！,null,2.76亿,"148,506","20,915",8.8,2015-10-6 1:08:48
我的青春道馆,"网络剧
/
喜剧",175万,"1,897",859,6.9,2015-10-6 1:08:40
鸳鸯佩,"言情剧

/
年代剧",2.82亿,"269,542","100,897",7.3,2015-10-6 1:08:50
二胎时代未删减版,"言情剧

/
家庭剧",2460万,"25,765","3,206",8.9,2015-10-6 1:08:53
寒冬,"年代剧
/
谍战剧",9703万,"30,055","4,638",8.7,2015-10-6 1:08:47
加油吧实习生,"青春剧
/
言情剧
/
偶像剧",16.49亿,"3,168,579","442,205",8.8,2015-10-6 1:09:03
好男儿之情感护理,null,3245万,"12,774","2,931",8.1,2015-10-6 1:09:00
快乐00后第1季,网络剧,119万,"1,166",585,6.7,2015-10-6 1:09:02
加油吧实习生未删减版,"偶像剧

/
言情剧

/
青春剧",7630万,"163,383","30,113",8.4,2015-10-6 1:09:06
白衣校花与大长腿2,"青春剧
/
言情剧
/
偶像剧",2.09亿,"223,587","64,384",7.8,2015-10-6 1:09:13
东江英雄刘黑仔,"青春剧

/
谍战剧",1.47亿,"46,788","9,139",8.4,2015-10-6 1:09:15
两生花,"言情剧
/
偶像剧",6.78亿,"272,344","112,037",7.1,2015-10-6 1:09:16
国产大英雄,"喜剧

/
网络剧",508万,"3,492","2,694",5.6,2015-10-6 1:09:19
虎妈猫爸,"喜剧
/
青春剧
/
家庭剧
/
言情剧
/
偶像剧",17.07亿,"571,756","132,788",8.1,2015-10-6 1:09:29
爱你一生,"年代剧

/
言情剧",5288万,"10,092","4,451",6.9,2015-10-6 1:09:32
麻雀春天,"悬疑剧

/
年代剧

/
言情剧",3825万,"7,654","3,319",7.0,2015-10-6 1:09:43
快乐00后第2季,网络剧,137万,"1,363",812,6.3,2015-10-6 1:09:45
家有一老,家庭剧,6444万,"23,357","10,223",7.0,2015-10-6 1:09:56
活色生香陈伟霆cut集锦,"言情剧
/
年代剧
/
偶像剧",152万,"3,219",713,8.2,2015-10-6 1:09:58
成人记2,"偶像剧
/
网络剧
/
青春剧",401万,"4,920","1,745",7.4,2015-10-6 1:10:09
飞虎队,"年代剧

/
军旅剧",4196万,"29,915","7,734",7.9,2015/10/7 1:02:58
明若晓溪,"青春剧
/
言情剧
/
偶像剧",3.43亿,"919,360","122,248",8.8,2015-10-7 1:02:58
多情江山,"宫廷剧
/
言情剧
/
古装剧",2.63亿,"234,469","66,764",7.8,2015-10-7 1:02:58
青春集结号,"青春剧
/
军旅剧",4130万,"67,667","8,945",8.8,2015-10-7 1:02:59
琅琊榜,"历史剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",9.33亿,"1,628,402","76,335",9.6,2015-10-7 1:03:04
花千骨2015,"穿越剧
/
言情剧
/
网络剧",8.29亿,"1,961,370","510,653",7.9,2015-10-7 1:03:04
孤雁,"言情剧

/
年代剧",2291万,"12,628","4,369",7.4,2015-10-7 1:03:06
历史永远铭记,"历史剧

/
年代剧

/
军旅剧",424万,"3,760","1,645",7.0,2015-10-7 1:03:31
夺宝传奇,"年代剧

/
悬疑剧",5779万,"35,458","9,986",7.8,2015-10-7 1:03:33
毕业歌,年代剧,3507万,"39,450","9,643",8.0,2015/10/7 1:03:11
大舜,"历史剧

/
古装剧",1.43亿,"141,803","43,890",7.6,2015/10/7 1:03:24
你是我的姐妹,言情剧,7.92亿,"434,147","140,603",7.6,2015/10/7 1:03:37
青春集结号未删减版,"青春剧
/
军旅剧",180万,"2,841",619,8.2,2015/10/7 1:03:36
男神执事团,"偶像剧
/
青春剧
/
网络剧",4283万,"234,245","16,031",9.4,2015-10-7 1:03:11
小爸妈未删减版,"家庭剧

/
言情剧

/
偶像剧",3311万,"26,697","9,758",7.3,2015-10-7 1:03:24
生死连,军旅剧,3.24亿,"75,837","27,935",7.3,2015-10-7 1:03:37
嘻哈白蛇传,"喜剧
/
网络剧",2036万,"73,769","25,694",7.4,2015-10-7 1:03:11
美剧,"罪案剧
/
悬疑剧",259万,"4,687","1,797",7.2,2015-10-7 1:03:24
生死兄弟情,军旅剧,2669万,"5,319","4,641",5.3,2015-10-7 1:03:37
铁在烧,"军旅剧
/
言情剧
/
谍战剧",4.57亿,"303,181","72,825",8.1,2015-10-7 1:03:17
小爸妈,"家庭剧

/
言情剧

/
偶像剧",2.25亿,"195,318","54,052",7.8,2015-10-7 1:03:30
香火,家庭剧,8161万,"36,294","4,153",9.0,2015-10-7 1:03:43
刺蝶,"军旅剧

/
谍战剧

/
悬疑剧",9146万,"46,370","18,399",7.2,2015-10-7 1:03:17
少年神探狄仁杰,"古装剧
/
悬疑剧",3.95亿,"662,184","76,316",9.0,2015-10-7 1:03:30
null,null,null,null,null,null,2015-10-7 1:03:43
致匆匆那些年,"言情剧

/
青春剧

/
网络剧",695万,"26,842","2,511",9.1,2015-10-7 1:03:19
大道通天,年代剧,2115万,"11,654","5,293",6.9,2015-10-7 1:03:33
后海不是海,"家庭剧

/
言情剧",1.20亿,"30,058","12,549",7.1,2015-10-7 1:03:46
左手劈刀,军旅剧,3.15亿,"163,721","56,165",7.4,2015-10-7 1:03:12
仙侠剑未删减版,"言情剧

/
武侠剧

/
古装剧",769万,"5,221","2,765",6.5,2015-10-7 1:03:25
爱情不打烊,言情剧,4150万,"19,247","6,449",7.5,2015-10-7 1:03:38
花千骨未删减版,"言情剧
/
古装剧
/
偶像剧",4.04亿,"278,071","87,591",7.6,2015/10/7 1:03:50
西游之妖怪别跑,"喜剧
/
网络剧",1064万,"14,829","5,396",7.3,2015-10-7 1:03:50
少年四大名捕,"言情剧
/
武侠剧
/
古装剧
/
偶像剧
/
悬疑剧",12.91亿,"931,143","118,319",8.9,2015/10/7 1:03:50
少年四大名捕茅子俊cut集锦,"言情剧
/
武侠剧
/
古装剧
/
偶像剧
/
悬疑剧",305万,"1,899",931,6.7,2015-10-7 1:03:50
花千骨,"言情剧
/
古装剧
/
偶像剧",67.79亿,"8,582,195","1,769,580",8.3,2015-10-7 1:03:44
少年四大名捕冷血张翰特辑,"古装剧
/
偶像剧
/
悬疑剧",854万,"9,233","1,635",8.5,2015-10-7 1:03:46
少年四大名捕未删减版,"悬疑剧
/
偶像剧
/
言情剧
/
武侠剧
/
古装剧",1.33亿,"50,592","5,291",9.1,2015-10-7 1:03:56
特警力量,"罪案剧
/
军旅剧",20.24亿,"647,299","72,384",9.0,2015-10-7 1:03:56
少年四大名捕杨洋特辑,"古装剧
/
偶像剧
/
悬疑剧",571万,"19,149",520,9.7,2015-10-7 1:03:51
完美案件,"网络剧
/
悬疑剧",936万,"8,485","2,424",7.8,2015-10-7 1:03:59
英雄祭,"军旅剧
/
年代剧",1.83亿,"84,326","40,424",6.8,2015-10-7 1:03:59
校花的贴身高手,"青春剧
/
言情剧
/
网络剧
/
偶像剧",8.10亿,"2,441,370","510,065",8.3,2015-10-7 1:03:57
边关烽火情,null,7634万,"11,682","3,381",7.8,2015-10-7 1:04:09
寒冬,"年代剧
/
谍战剧",9709万,"30,088","4,660",8.7,2015-10-7 1:04:09
妻子的谎言,言情剧,12.68亿,"555,366","114,822",8.3,2015-10-7 1:04:04
妻子的谎言未删减版,言情剧,1.05亿,"36,197","4,210",9.0,2015-10-7 1:04:03
办公室大爆炸,喜剧,424万,"3,038","2,116",5.9,2015/10/7 1:04:04
东北剿匪记,null,1.36亿,"19,844","7,380",7.3,2015-10-7 1:04:03
绝命追踪,悬疑剧,6603万,"73,874","2,724",9.6,2015/10/7 1:04:03
怒放,军旅剧,9990万,"24,147","7,216",7.7,2015-10-7 1:04:11
隋唐英雄5,古装剧,1.53亿,"99,240","20,198",8.3,2015-10-7 1:04:17
暖男的爱情与战争,家庭剧,3124万,"6,437","3,517",6.5,2015-10-7 1:04:12
冤家亲家,家庭剧,2233万,"8,021","2,461",7.7,2015-10-7 1:04:16
兵变1929,"年代剧

/
谍战剧",5607万,"15,799","5,387",7.5,2015/10/7 1:04:17
平凡的世界,农村剧,4.75亿,"276,383","49,341",8.5,2015-10-7 1:04:17
闪亮茗天,"青春剧
/
言情剧",5.47亿,"239,124","45,630",8.4,2015-10-7 1:04:13
茗天闪亮,"青春剧

/
言情剧",2236万,"17,416","3,778",8.2,2015/10/7 1:04:16
好男儿之情感护理,null,3246万,"12,814","2,902",8.2,2015-10-7 1:04:23
淑女之家,"家庭剧
/
言情剧
/
年代剧
/
悬疑剧",1.45亿,"122,342","16,493",8.8,2015-10-7 1:04:25
特警力量未删减版,"罪案剧

/
军旅剧",5249万,"26,131","7,664",7.7,2015-10-7 1:04:26
爱情公寓番外篇,网络剧,2.38亿,"203,957","27,740",8.8,2015/10/7 1:04:29
敢爱,"青春剧

/
言情剧",2.12亿,"101,254","44,683",6.9,2015-10-7 1:04:22
侯天明的梦,"青春剧

/
喜剧",1604万,"3,632","1,833",6.6,2015-10-7 1:04:24
何以笙箫默,"青春剧
/
言情剧
/
偶像剧",22.18亿,"2,113,561","226,416",9.0,2015/10/7 1:04:30
何以笙箫默精华版,"言情剧
/
偶像剧",1278万,"19,711","5,405",7.8,2015-10-7 1:04:29
爱你不放手,"家庭剧

/
言情剧",4297万,"13,487","5,910",7.0,2015-10-7 1:04:30
急诊室故事,null,6735万,"40,426","5,622",8.8,2015-10-7 1:04:30
婆媳的战国时代,"言情剧

/
家庭剧",2.05亿,"46,307","26,489",6.4,2015-10-7 1:04:39
青春正能量之我是女神,"青春剧

/
偶像剧",1.46亿,"85,190","12,731",8.7,2015-10-7 1:04:35
白衣校花与大长腿2,"青春剧
/
言情剧
/
偶像剧",2.10亿,"224,556","64,090",7.8,2015-10-7 1:04:36
血刃,"军旅剧

/
谍战剧",8017万,"14,782","6,785",6.9,2015-10-7 1:04:38
天使的城,言情剧,4.20亿,"208,675","27,971",8.8,2015-10-7 1:04:37
男神经,"喜剧
/
网络剧",1202万,"6,563","1,699",7.9,2015/10/7 1:04:42
石敢当之雄峙天东,"武侠剧
/
古装剧",3.83亿,"205,102","58,031",7.8,2015-10-7 1:04:50
我是机器人,"偶像剧

/
喜剧",7994万,"108,461","11,782",9.0,2015/10/7 1:04:51
天局,"武侠剧
/
古装剧
/
悬疑剧
/
网络剧",4394万,"48,006","4,495",9.1,2015-10-7 1:04:53
彩虹营业厅,"喜剧

/
网络剧",274万,"5,824","2,912",6.7,2015-10-7 1:04:53
笑时代,"喜剧

/
粤语电视剧",277万,"4,163","4,973",4.6,2015-10-7 1:04:55
嘿！真不是闹着玩的,"喜剧

/
农村剧",7390万,"42,960","8,292",8.4,2015/10/7 1:04:55
信访局长,null,854万,"1,866","1,384",5.7,2015-10-7 1:04:52
活着再见,"悬疑剧
/
罪案剧
/
网络剧",6038万,"68,584","42,694",6.2,2015-10-7 1:04:57
伪装者,"谍战剧
/
悬疑剧",11.85亿,"1,357,539","143,773",9.0,2015-10-7 1:04:57
生死血符,年代剧,3915万,"21,364","6,928",7.6,2015-10-7 1:04:59
我的媳妇是女王,言情剧,2.53亿,"291,106","55,894",8.4,2015/10/7 1:05:04
二胎时代,"家庭剧
/
言情剧",2.72亿,"353,047","58,167",8.6,2015-10-7 1:05:06
神犬小七,偶像剧,5.15亿,"1,506,354","130,740",9.2,2015-10-7 1:05:06
白衣校花与大长腿2番外篇,"言情剧

/
偶像剧",1105万,"18,771","8,624",6.9,2015-10-7 1:05:03
神犬小七未删减版,偶像剧,2568万,"66,319","7,536",9.0,2015-10-7 1:05:08
英雄戟之影子战士,"谍战剧

/
悬疑剧",1.24亿,"66,037","19,833",7.7,2015-10-7 1:05:10
涩世纪传说,"青春剧
/
言情剧
/
网络剧
/
偶像剧
/
科幻剧",5.04亿,"1,622,830","132,696",9.2,2015-10-7 1:05:10
春江英雄之秀才遇到兵,"言情剧
/
谍战剧",6.01亿,"719,926","98,715",8.8,2015-10-7 1:05:12
当人心遇上仁心,"家庭剧

/
言情剧",3798万,"10,218","3,757",7.3,2015-10-7 1:05:05
我的青春道馆,"喜剧
/
网络剧",175万,"1,901",863,6.9,2015/10/7 1:05:08
马上天下,军旅剧,1.44亿,"35,396","14,314",7.1,2015-10-7 1:05:23
错伏,谍战剧,2355万,"9,022","4,305",6.8,2015-10-7 1:05:23
淑女涩男,青春剧,1.77亿,"66,436","8,657",8.8,2015-10-7 1:05:25
东北抗日联军,军旅剧,8048万,"27,692","12,317",6.9,2015/10/7 1:05:17
仙侠剑,"言情剧

/
武侠剧

/
古装剧",2.30亿,"156,709","81,453",6.6,2015-10-7 1:05:19
妈妈向前冲,"家庭剧

/
言情剧",1.48亿,0,0,.,2015-10-7 1:05:20
伪装者未删减版,"谍战剧
/
悬疑剧",5740万,"54,816","7,138",8.8,2015-10-7 1:05:24
学堂故事,"喜剧
/
网络剧",511万,"1,741","1,874",4.8,2015-10-7 1:05:21
海上孟府,"年代剧

/
言情剧",1.31亿,"31,726","11,414",7.4,2015/10/7 1:05:30
地雷战,"军旅剧

/
历史剧",2.30亿,"137,822","35,221",8.0,2015-10-7 1:05:30
烧脑,"网络剧
/
偶像剧",328万,"1,750","1,454",5.5,2015-10-7 1:05:32
剧场,言情剧,1548万,"4,278","2,113",6.7,2015-10-7 1:05:33
铁甲舰上的男人们DVD版,历史剧,117万,739,328,6.9,2015-10-7 1:05:37
劫中劫,谍战剧,8766万,"16,293","7,454",6.9,2015-10-7 1:05:34
离婚协议,null,3995万,"9,013","4,845",6.5,2015-10-7 1:05:36
壮丁也是兵,军旅剧,2.26亿,"45,760","17,820",7.2,2015-10-7 1:05:36
前夫求爱记未删减版,喜剧,1596万,"4,405","1,799",7.1,2015-10-7 1:05:39
于无声处,"罪案剧
/
年代剧",1.31亿,"30,476","8,343",7.9,2015/10/7 1:05:43
克拉恋人,"青春剧
/
言情剧
/
偶像剧",28.39亿,"5,338,772","941,992",8.5,2015-10-7 1:05:44
我的天啊第2季,"喜剧

/
网络剧",376万,"1,484","3,462",3.0,2015/10/7 1:05:46
我的抗战之铁血轻奇兵,军旅剧,1.06亿,"20,803","5,912",7.8,2015-10-7 1:05:45
女人的抗战未删减版,谍战剧,804万,"1,553","1,154",5.7,2015-10-7 1:05:49
下一站婚姻,"家庭剧
/
言情剧",4.45亿,"119,397","38,723",7.6,2015-10-7 1:05:49
聊斋新编未删减版,"神话剧

/
古装剧",4937万,"13,022","2,913",8.2,2015-10-7 1:05:47
坐88路车回家,言情剧,8025万,"17,469","4,659",7.9,2015-10-7 1:05:47
傲魂之活死人,"网络剧

/
悬疑剧",3795万,"11,496","1,873",8.6,2015-10-7 1:05:52
猜拳,"悬疑剧

/
谍战剧",7022万,"10,937","4,919",6.9,2015/10/7 1:05:56
我的美女老师,"青春剧
/
偶像剧
/
科幻剧
/
言情剧
/
网络剧",2.29亿,"201,533","54,648",7.9,2015-10-7 1:05:58
爸爸父亲爹,"军旅剧
/
谍战剧",1.36亿,"60,425","22,613",7.3,2015-10-7 1:05:51
